ID,rfqItem_ID,supplier_ID,localBidValue,shippingCost,handlingCost,customDuty,premium,currency,isBenchmark,createdAt,modifiedAt,createdBy,modifiedBy
44444444-0000-0000-0000-000000000001,22222222-0000-0000-0000-000000000001,33333333-0000-0000-0000-000000000001,580000.00,12000.00,5000.00,8700.00,2900.00,USD,true,2024-01-12T08:00:00Z,2024-01-12T08:00:00Z,admin,admin
44444444-0000-0000-0000-000000000002,22222222-0000-0000-0000-000000000001,33333333-0000-0000-0000-000000000002,560000.00,18000.00,6000.00,11200.00,3360.00,USD,false,2024-01-12T08:00:00Z,2024-01-12T08:00:00Z,admin,admin
44444444-0000-0000-0000-000000000003,22222222-0000-0000-0000-000000000001,33333333-0000-0000-0000-000000000003,540000.00,22000.00,7500.00,10800.00,4050.00,USD,false,2024-01-12T08:00:00Z,2024-01-12T08:00:00Z,admin,admin
44444444-0000-0000-0000-000000000004,22222222-0000-0000-0000-000000000002,33333333-0000-0000-0000-000000000001,210000.00,8000.00,2500.00,4200.00,1260.00,USD,true,2024-01-12T09:00:00Z,2024-01-12T09:00:00Z,admin,admin
44444444-0000-0000-0000-000000000005,22222222-0000-0000-0000-000000000002,33333333-0000-0000-0000-000000000002,195000.00,11000.00,3000.00,5850.00,1950.00,USD,false,2024-01-12T09:00:00Z,2024-01-12T09:00:00Z,admin,admin
44444444-0000-0000-0000-000000000006,22222222-0000-0000-0000-000000000003,33333333-0000-0000-0000-000000000001,185000.00,9000.00,2000.00,3700.00,925.00,USD,false,2024-01-12T09:00:00Z,2024-01-12T09:00:00Z,admin,admin
44444444-0000-0000-0000-000000000007,22222222-0000-0000-0000-000000000004,33333333-0000-0000-0000-000000000005,45000.00,3000.00,800.00,1800.00,450.00,USD,false,2024-01-17T09:00:00Z,2024-01-17T09:00:00Z,admin,admin
44444444-0000-0000-0000-000000000008,22222222-0000-0000-0000-000000000004,33333333-0000-0000-0000-000000000006,42000.00,4500.00,900.00,2100.00,630.00,USD,false,2024-01-17T09:00:00Z,2024-01-17T09:00:00Z,admin,admin
44444444-0000-0000-0000-000000000009,22222222-0000-0000-0000-000000000005,33333333-0000-0000-0000-000000000005,28000.00,2000.00,600.00,1120.00,280.00,USD,false,2024-01-17T10:00:00Z,2024-01-17T10:00:00Z,admin,admin
44444444-0000-0000-0000-000000000010,22222222-0000-0000-0000-000000000005,33333333-0000-0000-0000-000000000006,26500.00,2500.00,700.00,1325.00,397.50,USD,false,2024-01-17T10:00:00Z,2024-01-17T10:00:00Z,admin,admin
